ASSERTION	AAMEAAEBBwAAAAAAAECfQA==
RUN	examples.users.TestUserSimulation	testusersimulation	1634623827022	 	3.0.2
USER	getCall	1	START	1634623827388	1634623827388
USER	getCall	2	START	1634623828684	1634623828684
USER	getCall	3	START	1634623829195	1634623829195
REQUEST	1		GET /api/users/2	1634623828931	1634623829262	OK	 
REQUEST	2		GET /api/users/2	1634623828931	1634623829262	OK	 
REQUEST	3		GET /api/users/2	1634623829347	1634623829538	OK	 
USER	getCall	4	START	1634623829711	1634623829711
REQUEST	2		POST /api/api/users	1634623829325	1634623829792	OK	 
USER	getCall	2	END	1634623828684	1634623829849
USER	getCall	6	START	1634623829889	1634623829889
REQUEST	4		GET /api/users/2	1634623829776	1634623829945	OK	 
REQUEST	3		POST /api/api/users	1634623829595	1634623830018	OK	 
USER	getCall	3	END	1634623829195	1634623830021
REQUEST	6		GET /api/users/2	1634623829914	1634623830063	OK	 
REQUEST	1		POST /api/api/users	1634623829325	1634623830080	OK	 
USER	getCall	1	END	1634623827388	1634623830094
USER	getCall	5	START	1634623830188	1634623830188
REQUEST	5		GET /api/users/2	1634623830249	1634623830387	OK	 
USER	getCall	7	START	1634623830389	1634623830389
REQUEST	4		POST /api/api/users	1634623829962	1634623830420	OK	 
USER	getCall	4	END	1634623829711	1634623830428
REQUEST	6		POST /api/api/users	1634623830096	1634623830540	OK	 
USER	getCall	6	END	1634623829889	1634623830550
REQUEST	7		GET /api/users/2	1634623830478	1634623830720	OK	 
USER	getCall	8	START	1634623830896	1634623830896
REQUEST	5		POST /api/api/users	1634623830436	1634623830931	OK	 
USER	getCall	5	END	1634623830188	1634623830934
REQUEST	8		GET /api/users/2	1634623830933	1634623831122	OK	 
REQUEST	7		POST /api/api/users	1634623830747	1634623831201	OK	 
USER	getCall	7	END	1634623830389	1634623831206
USER	getCall	9	START	1634623831394	1634623831394
REQUEST	9		GET /api/users/2	1634623831414	1634623831549	OK	 
REQUEST	8		POST /api/api/users	1634623831177	1634623831628	OK	 
USER	getCall	8	END	1634623830896	1634623831638
USER	getCall	10	START	1634623831885	1634623831885
REQUEST	9		POST /api/api/users	1634623831565	1634623831975	OK	 
USER	getCall	9	END	1634623831394	1634623831985
REQUEST	10		GET /api/users/2	1634623832006	1634623832135	OK	 
USER	getCall	11	START	1634623832394	1634623832394
REQUEST	10		POST /api/api/users	1634623832167	1634623832602	OK	 
REQUEST	11		GET /api/users/2	1634623832445	1634623832619	OK	 
USER	getCall	10	END	1634623831885	1634623832614
USER	getCall	12	START	1634623832894	1634623832894
REQUEST	11		POST /api/api/users	1634623832643	1634623833074	OK	 
USER	getCall	11	END	1634623832394	1634623833081
REQUEST	12		GET /api/users/2	1634623832933	1634623833091	OK	 
USER	getCall	13	START	1634623833403	1634623833403
REQUEST	12		POST /api/api/users	1634623833110	1634623833598	OK	 
USER	getCall	12	END	1634623832894	1634623833599
REQUEST	13		GET /api/users/2	1634623833456	1634623833629	OK	 
USER	getCall	14	START	1634623833889	1634623833889
REQUEST	13		POST /api/api/users	1634623833645	1634623834093	OK	 
USER	getCall	13	END	1634623833403	1634623834095
REQUEST	14		GET /api/users/2	1634623833980	1634623834125	OK	 
USER	getCall	15	START	1634623834392	1634623834392
REQUEST	15		GET /api/users/2	1634623834410	1634623834548	OK	 
REQUEST	14		POST /api/api/users	1634623834145	1634623834622	OK	 
USER	getCall	14	END	1634623833889	1634623834626
USER	getCall	16	START	1634623834887	1634623834887
REQUEST	15		POST /api/api/users	1634623834586	1634623835028	OK	 
USER	getCall	15	END	1634623834392	1634623835041
REQUEST	16		GET /api/users/2	1634623834936	1634623835143	OK	 
USER	getCall	17	START	1634623835384	1634623835384
REQUEST	16		POST /api/api/users	1634623835198	1634623835651	OK	 
USER	getCall	16	END	1634623834887	1634623835653
REQUEST	17		GET /api/users/2	1634623835489	1634623835662	OK	 
USER	getCall	18	START	1634623835894	1634623835894
REQUEST	17		POST /api/api/users	1634623835679	1634623836084	OK	 
USER	getCall	17	END	1634623835384	1634623836091
REQUEST	18		GET /api/users/2	1634623835928	1634623836116	OK	 
USER	getCall	19	START	1634623836407	1634623836407
REQUEST	18		POST /api/api/users	1634623836167	1634623836597	OK	 
USER	getCall	18	END	1634623835894	1634623836606
REQUEST	19		GET /api/users/2	1634623836461	1634623836682	OK	 
USER	getCall	20	START	1634623836886	1634623836886
REQUEST	20		GET /api/users/2	1634623836972	1634623837123	OK	 
REQUEST	19		POST /api/api/users	1634623836727	1634623837178	OK	 
USER	getCall	19	END	1634623836407	1634623837180
REQUEST	20		POST /api/api/users	1634623837137	1634623837560	OK	 
USER	getCall	20	END	1634623836886	1634623837561
